"acidez_fija","acidez_volatil","acido_citrico","azucares_residuales","cloruros","dioxido_azufre_libre","dioxido_azufre_total","densidad","pH","sulfatos","alcohol","calidad"
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7.61053518217126
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,4.28693957891121
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,6.56703733573839
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5.91153062683291
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6.22643278381436
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,4.76866630773976
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,5.18157752875057
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,4.87953139064653
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5.51946764260069
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,4.93887004657087
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5.37451248321239
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5.5754032266727
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,7.00263289731776
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6.03361003996498
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,4.96881085629146
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,3.94805758451464
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5.0595965564527
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,5.65688996526266
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,4.41559425031754
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,5.89205626137148
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6.60896590364619
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,4.80435090678685
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,5.74363242767674
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6.06998237014962
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,5.46407545796703
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5.20034176549953
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5.24685795236944
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,5.98017830443441
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,3.52046108374398
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,7.54287488751998
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,6.87682044551908
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6.3907159689526
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7.16425989462193
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5.61480394089101
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5.49059566782445
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,5.87412409726289
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6.2269006633251
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,5.43275470132566
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7.51415380653959
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,4.72337699666939
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,7.45006401227293
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,4.00937066258709
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,5.72160765422039
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6.49522791765555
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6.3060795281272
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,4.646311376891
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,6.40193155467549
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7.08668542282642
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,5.99141555209985
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,3.92583125764156
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6.02073064028031
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7.11413818941547
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6.10483583818911
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,5.36698977443839
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6.28567996698158
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6.82714208217554
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6.27374184190789
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,4.31864691777539
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,6.73861271818486
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6.20766217173216
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,5.61177262120904
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,4.70541219899083
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6.53055049201693
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,5.50231343302529
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,4.65586383753903
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5.90234036540272
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,5.53551304223676
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6.50743892411358
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,4.24359027270873
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,6.78727455815561
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,6.95586638851811
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,5.29880914534539
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,4.61915104105465
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,5.98269506824301
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5.40241758124036
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,4.00967207394493
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,6.79014745647324
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6.45384386312729
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,6.67671450401344
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5.13637515300377
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5.29533714203866
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7.16070100919901
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5.39195460768283
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,5.92637480341357
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,5.75179409184473
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,3.41411062878261
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,5.94423538891232
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7.25817081781599
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6.32123930452089
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,6.66683298921205
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,7.06770174586509
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6.17185465177729
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6.07578951507533
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6.76336006768111
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,5.56892026720844
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,5.72979682564517
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,6.43847148802986
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6.00667751233253
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6.98014105284498
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,5.13689601305129
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,5.88568991877426
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7.2270543421821
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8.18002312712348
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,5.3966182442935
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5.01155556477522
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,4.35354760813281
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5.42762199514657
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7.65086505391639
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,3.66500738210755
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6.74141607738009
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,5.25537330191491
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5.27286156138958
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5.39594158288557
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,5.88006610313914
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,5.61293162588412
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,6.09919261274523
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5.26329122042867
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,6.52998169196922
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,4.76859780965883
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,6.01817243916459
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6.85824140471291
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4.62797730826693
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,6.26117336934461
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5.42910704426664
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,5.5503049505846
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,5.40344632092059
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5.66616625798329
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,4.7090074420626
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6.13837009837872
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,4.82290531946985
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6.52317897244725
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,4.79091653062663
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7.31110225953295
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,6.76558901281661
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,4.3443276745391
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7.72600630626416
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5.44454000676456
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,8.03455734349387
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6.03909235954758
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6.6750016474969
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,6.18525143241145
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,5.83111073097662
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,6.20622933234687
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,4.85638905971713
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,5.87157525600877
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5.09100830270559
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,7.02738298639157
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,4.80431366449679
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,6.22380279348295
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,5.86338956106268
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6.01227042511502
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5.18843459810376
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8.79692881762219
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6.07279102649447
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,7.42770539201867
10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7.46731601787012
5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7.54886396251338
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,5.65536326868937
12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,5.97612872851681
9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,4.77142595642359
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,5.93652949941015
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6.8424301606285
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6.77645034368735
8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,5.34600487655326
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,5.47615739974952
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,6.18515256437763
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5.1091083155719
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8.09890452075108
8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5.21846881241304
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5.33129462853113
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,6.63886429240899
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,2.40378084534077
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6.61607103364494
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5.45063678156379
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,4.09450007760278
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,4.94291152949043
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,5.4624313063461
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,3.75754935767482
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6.09007207871289
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,5.95247297444485
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,5.94157843949215
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5.12969152508074
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5.52947909863795
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6.12335850269003
12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,5.63013849427588
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,4.55912044884723
10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,5.92091832417529
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5.18601019194737
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,4.37619178837878
10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,5.88941467869457
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5.58036035610075
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,5.93503194525931
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,4.58094759944337
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,7.83443289894468
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5.66878912721719
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5.33002637672848
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6.74200548004896
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5.08345871429706
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5.24616505789426
10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,5.66492585259112
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7.3632224013582
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,5.69619987468646
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,5.14766069718255
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7.07679577941048
8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,8.16751073063886
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6.48054860374384
6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6.69915203396776
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8.21531343385589
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,5.63486569301027
7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,4.87865548693383
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,7.83605113591284
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,5.71878013213075
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6.42250037035783
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,6.28158189858075
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7.51981967926766
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7.51849149173554
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,6.28082658455875
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7.38369519874032
10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,8.4581359914067
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,5.66567071083503
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6.50694254484484
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,6.53067889262836
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5.66642685092168
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6.14989483195594
10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6.9911492349739
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,6.12461756287785
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,6.96922126832478
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,4.68384489432464
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,5.88164107855422
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,2.6222527543884
10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,5.499693851679
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5.34723342476987
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,5.34745157155384
7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5.89041855893377
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,4.28827604881175
9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,5.06064749083717
9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,5.31979357209589
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5.35204120345557
7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,4.81895200168017
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6.04770119719704
8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6.57675849108581
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,4.12612044975414
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,5.53095617308075
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5.19224138858997
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,4.73313081299781
10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,6.8220023963826
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6.4039523180129
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6.04330005144885
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,4.09534560947799
8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6.01566013519574
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,6.8101504790818
11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,4.93859209188764
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,4.29106446376659
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6.29919482629795
9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,4.37662613581578
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,5.86426681113455
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6.22885549767081
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,4.52989052659217
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,6.34979484340804
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,5.21009375900898
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,4.31413519262368
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6.27898079447151
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6.5043238961766
9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,5.82849274584517
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6.30247575275497
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,4.3064500849498
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,4.9237108359046
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,3.83508897437563
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6.70870853486311
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,6.1159465169259
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6.64440735616919
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,5.98359182015176
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,4.98000179463445
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,4.09035942610934
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5.47423120633294
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,5.87355949158493
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,5.60595424478336
12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,4.15278452440501
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,5.82014250201224
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,5.49056331898997
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,5.7617816878033
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,5.26944000734184
11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,7.01255368976742
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,5.99039848367522
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5.64496704636343
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,2.43898019784541
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,5.7280813020031
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,5.59471062504476
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,3.26624429238045
